,Pais,Total Fallecidos Vias Respiratorias,Media Fallecidos Vias Respiratorias,Total Fallecidos Sepsis,Media Fallecidos Sepsis,Total Fallecidos Meningitis Encefalitis,Media Fallecidos Meningitis Encefalitis,Total Fallecidos Malaria,Media Fallecidos Malaria,Total Fallecidos Sarampion,Media Fallecidos Sarampion,Total Fallecidos VIH,Media Fallecidos VIH,Total Fallecidos Diarrea,Media Fallecidos Diarrea,Vacunación contra la poliomielitis entre los niños de 1 año (%),Vacunación de antineumocócicas conjugadas en niños de 1 año (%),Vacunación de la primera dosis contra el sarampión (%),Vacunación de la segunda dosis contra el sarampión (%),Vacunación contra la hepatitis B entre los niños de 1 año (%),Vacunación contra Hib entre niños de 1 año (%),Vacunación contra la tos ferina y el toxoide tetánico diftérico en niños de 1 año (%),Vacunación con BCG en niños de 1 año (%),Centros de salud (Densidad por 100000 hab.),Hospitales (Densidad por 100000 hab.),Doctores medicos (por 10000 hab.),Enfermeros y personal de parto (por 10000 hab.),Farmaceuticos (por 10000 hab.),Camas de hospital (por 10000 hab.),Niños con bajo peso al nacer(%),Prevalencia de anemia en niños menores de 5 años (%),Niños amamantados en sus primeros 6 meses de vida (%),Concentracion de partículas finas (polucion) en el aire,"DALY debido al agua, saneamiento e higiene en niños menores de 5 años","Muertes debido al agua, saneamiento e higiene en niños menores de 5 años"
25,Botswana,4388,243.77777777777777,3461,192.27777777777777,449,24.944444444444443,41,2.2777777777777777,1191,66.16666666666667,16325,906.9444444444445,1934,107.44444444444444,88.97560975609755,51.92307692307692,87.60975609756098,26.0,69.21875,28.5,90.07317073170732,94.53658536585365,,1.29,3.409352941176471,28.703499999999995,1.04225,18.0,16.087500000000002,6.294054054054054,20.3,21.2 ,25880,729
26,Brazil,118855,6603.055555555556,107661,5981.166666666667,21336,1185.3333333333333,338,18.77777777777778,1,0.05555555555555555,3419,189.94444444444446,59424,3301.3333333333335,77.85365853658537,62.38461538461539,84.6829268292683,66.80952380952381,63.3125,62.7,79.4390243902439,86.39024390243902,NaN,NaN,15.3955,45.076619047619054,4.870888888888889,23.952941176470585,8.25,3.672972972972973,20.6,11.5 ,766324,21570
27,Brunei Darussalam,67,3.7222222222222223,62,3.4444444444444446,8,0.4444444444444444,0,0.0,0,0.0,3,0.16666666666666666,13,0.7222222222222222,93.3170731707317,NaN,93.58536585365853,90.80952380952381,91.71875,58.06666666666667,92.95121951219512,93.92682926829268,0.49,1.44,13.532866666666667,61.30017647058824,1.1773636363636362,25.630000000000003,10.606250000000001,2.1594594594594594,NaN,5.8 ,NaN,NaN
28,Bulgaria,2915,161.94444444444446,343,19.055555555555557,279,15.5,0,0.0,10,0.5555555555555556,1,0.05555555555555555,241,13.38888888888889,93.07317073170732,68.46153846153847,92.6829268292683,85.76190476190476,80.8125,30.466666666666665,93.26829268292683,95.65853658536585,NaN,NaN,36.03426923076923,53.01855172413793,3.5910833333333336,67.55,9.05625,4.074594594594594,NaN,18.8 ,644,8
29,Burkina Faso,153948,8552.666666666666,69039,3835.5,45250,2513.8888888888887,507819,28212.166666666668,75700,4205.555555555556,20134,1118.5555555555557,104725,5818.055555555556,54.1219512195122,42.0,58.073170731707314,15.857142857142858,39.25,41.86666666666667,53.26829268292683,73.17073170731707,11.120000000000001,0.31,0.5790769230769229,5.8125833333333325,0.12676923076923077,6.5,14.356250000000001,12.975675675675676,23.96666666666667,36.8 ,664022,18985
30,Burundi,104891,5827.277777777777,28397,1577.611111111111,22334,1240.7777777777778,83957,4664.277777777777,5648,313.77777777777777,16155,897.5,72930,4051.6666666666665,71.6829268292683,58.69230769230769,69.6829268292683,22.857142857142858,46.5,49.6,72.36585365853658,79.90243902439025,5.54,0.5,0.5501250000000001,6.462777777777777,0.03975,11.299999999999999,16.2125,8.936756756756756,72.05000000000001,35.6 ,403464,11653
31,Cabo Verde,740,41.111111111111114,279,15.5,66,3.6666666666666665,1,0.05555555555555555,176,9.777777777777779,157,8.722222222222221,295,16.38888888888889,78.17073170731707,NaN,74.34146341463415,38.666666666666664,50.96875,28.533333333333335,78.04878048780488,82.0,3.8200000000000003,1.0,5.986166666666667,10.6862,0.06085714285714285,21.0,NaN,8.860540540540539,49.25,32.0 ,2153,57
32,Cambodia,70707,3928.1666666666665,22369,1242.7222222222222,12192,677.3333333333334,3416,189.77777777777777,4728,262.6666666666667,4173,231.83333333333334,38662,2147.8888888888887,56.80487804878049,31.53846153846154,56.09756097560975,24.142857142857142,39.28125,30.066666666666666,55.609756097560975,66.36585365853658,6.785,0.57,1.917666666666667,8.861533333333334,0.37229999999999996,8.0,13.475000000000001,9.041621621621623,47.73333333333333,24.0 ,327601,9454
33,Cameroon,243046,13502.555555555555,60128,3340.4444444444443,42060,2336.6666666666665,277966,15442.555555555555,15177,843.1666666666666,75145,4174.722222222223,175356,9742.0,55.26829268292683,48.69230769230769,51.951219512195124,NaN,37.1875,28.8,55.58536585365854,68.85365853658537,0.675,0.79,0.9181666666666667,5.943428571428571,0.03833333333333333,14.0,12.46875,10.04054054054054,18.85,65.3 ,479153,13693
34,Canada,641,35.611111111111114,1020,56.666666666666664,341,18.944444444444443,0,0.0,0,0.0,3,0.16666666666666666,92,5.111111111111111,72.41463414634147,65.38461538461539,73.8048780487805,32.76190476190476,25.03125,72.0,72.34146341463415,NaN,,2.27,24.338,101.01857142857143,11.0105,29.675,6.012499999999999,1.4356756756756759,NaN,6.5 ,1573,2
