",""Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years)"",""Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years)"",""Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years)"",""Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years)"""
"Liberia,""16.8 "",""17.3 "",""17.9 "",""18.5 """
"Libya,""5.8 "",""6.6 "",""6.9 "",""6.7 """
"Lithuania,""1.5 "",""1.6 "",""1.6 "",""1.7 """
"Luxembourg,""0.4 "",""0.4 "",""0.4 "",""0.4 """
"Madagascar,""12.0 "",""12.3 "",""12.7 "",""13.2 """
"Malawi,""13.7 "",""14.1 "",""14.6 "",""15.1 """
"Malaysia,""2.6 "",""2.6 "",""2.6 "",""2.6 """
"Maldives,""2.4 "",""2.5 "",""2.6 "",""2.8 """
"Mali,""25.8 "",""26.4 "",""27.0 "",""27.4 """
"Malta,""0.8 "",""0.9 "",""0.9 "",""0.9 """
"Marshall Islands,""6.1 "",""6.3 "",""6.4 "",""6.6 """
"Mauritania,""8.4 "",""8.7 "",""9.0 "",""9.3 """
"Mauritius,""1.7 "",""1.8 "",""1.8 "",""1.9 """
"Mexico,""2.5 "",""2.5 "",""2.5 "",""2.6 """
"Micronesia (Federated States of),""5.8 "",""6.0 "",""6.1 "",""6.3 """
"Monaco,""0.9 "",""0.9 "",""0.9 "",""0.9 """
"Mongolia,""4.3 "",""4.4 "",""4.4 "",""4.5 """
"Montenegro,""1.0 "",""1.1 "",""1.1 "",""1.2 """
"Morocco,""2.8 "",""2.9 "",""3.0 "",""3.1 """
"Mozambique,""17.2 "",""17.7 "",""18.3 "",""18.9 """
"Myanmar,""5.4 "",""5.7 "",""6.1 "",""6.6 """
"Namibia,""11.7 "",""12.0 "",""12.4 "",""12.7 """
"Nauru,""5.9 "",""6.1 "",""6.3 "",""6.4 """
"Nepal,""5.9 "",""6.1 "",""6.3 "",""9.4 """
"Netherlands,""0.8 "",""0.8 "",""0.8 "",""0.8 """
"New Zealand,""0.9 "",""0.9 "",""0.9 "",""1.0 """
"Nicaragua,""3.5 "",""3.6 "",""3.7 "",""3.9 """
"Niger,""37.3 "",""38.5 "",""39.6 "",""40.7 """
"Nigeria,""19.9 "",""20.5 "",""21.1 "",""21.8 """
"Niue,""4.8 "",""4.9 "",""5.0 "",""5.2 """
"Norway,""0.6 "",""0.7 "",""0.7 "",""0.7 """
"Oman,""2.3 "",""2.3 "",""2.3 "",""2.3 """
"Pakistan,""9.7 "",""9.9 "",""10.1 "",""10.2 """
"Palau,""3.9 "",""4.0 "",""4.1 "",""4.2 """
"Panama,""2.5 "",""2.7 "",""2.8 "",""2.9 """
"Papua New Guinea,""8.7 "",""8.9 "",""9.2 "",""9.5 """
"Paraguay,""2.9 "",""3.0 "",""3.1 "",""3.2 """
"Peru,""3.3 "",""3.4 "",""3.5 "",""3.6 """
