,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$
Cyprus,1954.41,1780.35,1681.90,1616.55,1873.89,1916.32,1899.37,2114.67,2045.29,2105.48,2155.25,1694.27,1474.02,1366.02,1286.97,1145.06,890.48,782.16,750.52
Czechia,1765.59,1475.92,1321.62,1284.05,1512.93,1554.51,1387.41,1516.56,1373.93,1442.24,1449.34,1110.18,942.12,852.65,746.33,640.66,497.74,388.54,342.92
Democratic Republic of the Congo,18.51,19.42,20.58,19.87,19.37,16.33,14.02,12.46,12.53,13.29,16.02,12.14,10.97,9.07,8.39,6.47,4.48,5.82,18.62
Denmark,6216.77,5800.15,5565.59,5469.33,6380.78,6236.55,6003.83,6281.00,6011.54,6221.69,6137.78,5468.38,4778.89,4442.76,4194.87,3607.04,2895.81,2602.64,2496.05
Djibouti,70.86,72.23,76.87,82.29,73.12,67.53,72.22,68.78,56.20,55.32,53.96,50.45,47.33,40.96,40.29,46.11,40.19,31.04,31.96
Dominica,490.82,398.71,415.89,393.94,385.16,375.11,396.81,376.95,359.22,344.12,326.64,285.24,263.91,256.73,247.46,237.35,222.09,226.96,254.79
Dominican Republic,461.54,443.67,424.30,400.38,380.08,359.57,359.61,335.00,309.96,256.36,240.41,198.07,164.10,171.23,106.65,106.14,155.10,145.35,140.14
Ecuador,516.25,513.08,502.74,526.00,549.78,518.41,481.82,409.04,330.00,272.46,247.14,209.25,189.32,167.47,149.39,131.60,96.82,70.81,47.89
Egypt,125.55,113.98,153.49,183.43,167.25,150.62,150.72,125.25,113.25,106.67,97.21,78.96,71.35,63.86,53.93,53.82,68.26,73.08,73.66
El Salvador,288.52,282.04,293.26,282.75,275.69,270.88,258.48,266.00,245.71,240.05,224.84,212.82,208.53,204.90,193.61,185.74,186.46,182.88,178.63
Equatorial Guinea,314.30,293.13,290.68,328.82,424.73,382.35,274.35,335.78,314.11,307.42,419.66,249.96,195.25,163.77,143.73,106.57,73.51,58.35,40.93
Eritrea,23.79,21.17,22.78,26.75,31.86,29.79,26.20,33.51,24.64,22.40,19.33,17.97,22.03,20.64,22.12,19.00,15.22,14.51,13.75
Estonia,1552.97,1350.38,1186.10,1112.91,1238.93,1144.65,1013.31,1015.97,926.45,963.02,1038.56,832.73,600.51,524.68,455.07,349.06,250.48,214.70,209.71
Eswatini,271.14,273.18,233.64,259.52,293.08,315.45,354.07,380.86,358.12,292.29,277.91,263.87,248.59,227.47,183.93,137.05,77.62,78.20,79.68
