"","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)"
"Slovakia","96","96","96","96","96","96","98","99","99","99","99",""
"Slovenia","65","60","55","49","49","","","","","","",""
"Solomon Islands","94","84","81","87","42","","","","","","",""
"South Africa","76","73","68","77","85","85","77","75","62","58","10",""
"Spain","95","93","93","","","","","","","","",""
"Sudan","93","93","95","93","93","97","30","","","","",""
"Sweden","97","97","97","97","97","96","97","97","98","98","98","60"
"Switzerland","84","84","84","80","80","80","75","62","50","37","25","13"
"Togo","83","81","83","82","77","25","","","","","",""
"Trinidad and Tobago","93","99","93","91","93","95","80","39","","","",""
"Turkey","97","97","96","98","97","96","97","97","96","93","97",""
"Uganda","92","92","90","77","64","60","","","","","",""
"United Arab Emirates","99","99","96","99","99","99","98","96","95","94","",""
"United Kingdom of Great Britain and Northern Ireland","91","92","92","92","93","93","93","92","90","89","",""
"United Republic of Tanzania","83","84","86","89","92","93","80","","","","",""
"United States of America","92","92","93","93","93","93","92","92","94","93","93","93"
"Uruguay","95","93","94","94","94","95","93","93","92","91","",""
"Uzbekistan","99","96","99","99","","","","","","","",""
"Venezuela (Bolivarian Republic of)","","","","7","24","","","","","","",""
"Yemen","72","64","68","71","69","73","73","67","41","","",""
"Zambia","89","90","94","90","81","77","","","","","",""
"Zimbabwe","90","89","89","90","87","91","95","21","","","",""
