Pais,Vacunación contra la poliomielitis entre los niños de 1 año (%),Vacunación de antineumocócicas conjugadas en niños de 1 año (%),Vacunación de la primera dosis contra el sarampión (%),Vacunación de la segunda dosis contra el sarampión (%),Vacunación contra la hepatitis B entre los niños de 1 año (%),Vacunación contra Hib entre niños de 1 año (%),Vacunación contra la tos ferina y el toxoide tetánico diftérico en niños de 1 año (%),Vacunación con BCG en niños de 1 año (%),Centros de salud (Densidad por 100000 hab.),Hospitales (Densidad por 100000 hab.),Doctores medicos (por 10000 hab.),Enfermeros y personal de parto (por 10000 hab.),Farmaceuticos (por 10000 hab.),Camas de hospital (por 10000 hab.),Niños con bajo peso al nacer(%),Prevalencia de anemia en niños menores de 5 años (%),Niños amamantados en sus primeros 6 meses de vida (%),Concentracion de partículas finas (polucion) en el aire,"DALY debido al agua, saneamiento e higiene en niños menores de 5 años","Muertes debido al agua, saneamiento e higiene en niños menores de 5 años",Media Fallecidos Enf. Infecciosas
Fiji,89.41,52.38,77.2,66.19,81.0,75.73,89.51,95.66,6.95,0.0,5.52,27.06,1.03,20.2,10.13,5.92,39.8,10.2,609.0,10.0,16.47
Finland,92.05,69.31,89.51,17.29,52.72,89.57,94.12,62.44,3.6,1.38,31.79,160.93,12.99,58.72,4.21,1.7,1.0,5.9,248.0,0.0,1.71
France,92.73,69.54,69.22,36.05,38.81,68.53,92.41,55.44,6.95,2.24,53.87,85.95,11.14,67.94,7.47,1.75,29.89,11.6,328018.71,9304.79,38.27
Gabon,54.02,46.82,53.2,56.41,33.09,24.77,56.02,84.63,2.34,3.53,3.0,34.99,0.29,13.0,14.78,9.52,5.25,38.5,6879.0,184.0,247.69
Gambia,86.02,72.77,84.71,25.81,79.34,69.0,85.46,93.93,1.74,0.7,1.07,8.42,0.08,11.0,17.86,11.59,36.15,32.2,25114.0,709.0,382.95
Georgia,58.27,25.85,55.59,70.48,50.19,29.9,57.34,59.2,6.95,2.21,44.68,42.92,0.91,35.24,5.52,4.16,33.3,21.2,13713.0,400.0,36.43
Germany,89.22,76.54,81.73,77.95,66.44,86.67,85.12,72.01,6.95,2.24,35.1,129.16,5.96,84.14,6.79,1.7,29.89,11.7,3419.0,7.0,24.91
Ghana,67.34,54.15,67.54,26.67,50.88,54.27,67.49,77.29,9.41,1.36,1.02,19.24,0.28,9.0,15.07,11.14,38.66,31.9,256261.0,7077.0,4177.79
Greece,93.2,49.23,76.8,49.95,67.12,68.87,86.12,27.2,6.95,2.24,49.11,47.23,9.92,45.71,8.79,1.86,1.0,15.7,328018.71,9304.79,4.41
Grenada,83.98,46.82,76.71,69.19,56.66,61.57,84.34,72.01,4.76,0.94,7.47,38.93,6.8,36.74,10.13,5.38,29.89,21.6,47.0,1.0,0.63
Guatemala,70.22,38.08,67.49,14.29,40.38,42.97,68.46,70.41,0.52,0.34,6.03,10.45,0.04,5.28,11.5,5.86,47.8,23.6,91822.0,2532.0,879.69
Guinea,40.41,46.82,43.24,56.41,21.31,18.93,40.41,59.78,3.84,0.37,0.95,3.74,0.15,3.0,10.13,11.52,23.32,22.4,255264.0,7327.0,4300.94
Guinea-Bissau,57.71,27.54,60.41,56.41,29.66,31.77,57.93,75.22,35.03,56.45,1.13,6.26,0.05,10.0,23.13,10.82,33.45,27.1,74214.0,2132.0,574.99
Guyana,81.66,61.92,77.1,76.48,56.0,59.73,81.56,86.95,15.2,3.38,8.03,10.29,0.15,17.15,15.89,6.26,21.05,20.5,3818.0,105.0,28.49
Haiti,45.24,3.31,46.02,6.19,13.69,14.6,44.46,70.61,0.3,0.24,1.85,4.92,0.19,7.1,10.13,9.08,29.18,14.6,185575.0,5286.0,1571.23
Honduras,83.02,64.0,82.17,8.52,58.91,62.83,82.1,83.51,0.76,0.36,4.24,8.26,0.53,6.37,11.35,5.01,31.43,20.1,36422.0,1004.0,234.45
Hungary,96.44,65.0,96.59,94.29,52.72,69.3,96.59,96.59,0.11,1.02,31.87,68.31,5.28,73.96,8.48,3.98,44.0,15.6,822.0,2.0,8.14
Iceland,93.9,54.85,85.07,75.52,52.72,92.3,93.95,72.01,1.84,3.64,37.8,178.14,4.97,33.26,3.74,1.66,13.0,5.9,18.0,0.0,0.06
India,55.56,1.62,53.83,26.9,26.28,14.5,56.98,61.93,6.95,2.24,6.91,14.16,5.33,5.13,10.13,9.71,48.52,65.2,14210426.0,403518.0,106439.28
Indonesia,63.66,0.23,62.07,45.14,62.03,15.23,61.61,77.12,3.49,0.43,2.75,17.2,0.68,8.39,10.51,5.93,39.78,15.6,978230.0,27410.0,10463.13
Iran (Islamic Republic of),85.51,46.82,84.41,92.67,76.47,16.47,83.83,81.49,6.95,2.24,10.96,18.31,2.0,15.96,10.13,5.65,48.6,35.1,328018.71,9304.79,1273.29
Iraq,69.68,7.85,67.05,60.86,50.81,18.9,68.66,91.02,6.95,0.95,8.2,18.64,2.65,13.03,10.13,5.18,18.8,57.7,567672.0,16429.0,1828.47
Ireland,83.34,65.92,70.12,56.41,28.06,69.33,73.46,56.8,6.95,2.24,29.04,133.39,10.15,40.75,5.16,1.74,29.89,8.3,328018.71,9304.79,3.06
Israel,91.41,64.92,90.9,85.48,84.31,81.7,90.98,5.2,0.01,0.56,60.42,63.7,7.2,33.55,8.17,1.78,11.0,19.5,328018.71,9304.79,6.04
Italy,85.32,75.46,55.51,28.33,86.31,60.53,69.12,72.01,6.95,2.08,68.69,56.08,10.57,37.46,7.02,1.81,5.0,15.3,328018.71,9304.79,17.25
Jamaica,82.93,46.82,72.54,75.0,48.31,51.47,82.17,83.37,6.95,0.75,4.71,13.9,0.27,17.13,14.91,4.46,19.5,13.3,4966.0,125.0,26.3
Japan,88.68,67.77,84.9,52.62,3.09,29.57,87.05,57.8,6.95,2.24,20.66,104.06,14.93,137.1,9.39,1.75,29.89,11.4,5685.0,19.0,58.96
Jordan,89.22,46.82,84.44,89.24,73.31,60.1,89.32,38.37,6.95,1.94,21.43,31.45,12.09,17.19,14.18,5.18,24.16,32.1,15875.0,416.0,123.55
Kazakhstan,64.63,46.15,66.51,93.62,64.75,36.7,64.24,63.63,6.95,3.52,37.31,79.35,6.42,72.95,5.66,5.66,26.26,11.3,97988.0,2872.0,316.29
Kenya,72.93,57.08,71.1,8.81,48.5,51.77,73.44,80.9,6.27,1.47,1.71,8.86,0.54,14.0,12.0,8.49,24.63,25.9,733702.0,20841.0,6687.29
Kiribati,69.44,40.92,61.41,33.33,68.41,35.4,72.2,80.24,142.68,0.0,2.5,37.57,0.3,18.6,10.13,5.89,69.0,10.5,710.0,20.0,9.68
Kuwait,91.78,89.69,90.39,67.0,83.22,71.47,91.27,33.02,6.95,2.24,22.29,59.75,3.42,20.51,10.05,4.01,29.89,57.2,328018.71,9304.79,6.3
Kyrgyzstan,64.41,21.23,66.41,92.62,57.41,31.77,64.32,66.54,6.95,2.63,27.39,75.17,0.46,51.53,6.02,6.05,44.17,18.1,42705.0,1238.0,218.03
Lao People's Democratic Republic,45.73,24.15,46.07,5.43,35.53,25.27,43.71,49.95,11.86,2.25,3.28,10.49,2.08,15.0,18.69,7.04,28.4,24.5,65015.0,1870.0,975.12
Latvia,64.85,55.85,64.44,89.33,62.44,71.87,64.54,65.59,1.44,1.56,32.82,48.39,6.88,68.55,4.75,3.94,16.0,12.7,158.0,0.0,2.71
Lebanon,66.24,18.92,61.15,52.0,52.28,46.4,67.24,72.01,0.06,3.09,22.93,15.11,10.71,31.93,9.46,4.03,29.89,30.7,5399.0,139.0,21.11
Lesotho,80.71,29.0,77.17,67.0,44.38,32.93,81.56,89.2,6.95,2.24,0.57,14.93,0.02,13.0,14.97,7.17,37.34,27.8,5035.0,121.0,468.9
Liberia,35.44,32.69,35.37,0.62,29.12,31.07,33.17,40.93,1.09,0.37,0.26,5.0,0.09,7.5,10.13,10.84,32.6,17.2,166895.0,4831.0,1317.55
Libya,87.46,34.23,85.56,83.0,81.59,39.07,87.46,92.15,1.66,2.64,17.61,58.64,4.12,37.21,10.13,5.0,29.89,44.2,328018.71,9304.79,63.1
Lithuania,63.15,25.0,64.93,89.33,64.34,47.77,62.95,66.95,19.2,2.15,38.93,83.08,8.12,73.65,4.63,3.87,29.89,11.5,328018.71,9304.79,4.8
Luxembourg,86.34,85.08,78.98,33.14,63.5,74.37,85.66,72.01,6.95,1.13,28.4,101.28,6.91,52.33,6.22,1.69,6.0,10.2,40.0,0.0,0.13
Madagascar,53.71,40.08,47.85,56.41,41.19,28.8,55.0,65.49,0.29,0.47,1.66,2.54,0.0,2.5,18.31,9.13,49.53,21.4,547959.0,15631.0,3413.86
Malawi,80.07,55.46,77.98,13.48,50.41,53.77,81.34,87.83,2.42,0.4,0.23,3.63,0.13,12.0,15.58,10.38,58.78,22.1,517880.0,14964.0,4658.06
Malaysia,86.07,46.82,74.8,67.62,91.22,49.93,86.37,95.46,6.95,0.47,10.91,33.78,2.35,18.15,10.65,4.7,29.0,16.0,37071.0,886.0,85.25
Maldives,79.59,46.82,82.24,57.62,75.22,21.73,79.32,83.0,37.6,6.67,11.91,40.42,5.97,43.0,13.07,7.69,45.3,7.6,1632.0,45.0,4.25
Mali,46.51,45.77,46.9,0.19,39.22,30.67,46.0,66.59,5.7,0.46,1.04,3.88,0.11,3.5,10.13,12.26,23.27,31.2,614756.0,17582.0,8145.16
Malta,83.8,46.82,65.2,62.71,47.16,68.27,75.02,26.17,1.89,0.93,25.81,66.37,10.36,59.58,6.72,1.8,36.0,14.0,328018.71,9304.79,0.15
Marshall Islands,59.8,43.31,59.17,60.38,65.88,46.53,60.44,64.95,97.52,3.8,5.32,31.39,0.71,29.72,10.13,5.3,27.3,9.4,424.0,12.0,3.32
Mauritania,49.83,34.38,56.37,56.41,34.12,27.8,51.32,78.71,4.04,1.03,1.56,8.74,0.2,4.0,10.13,10.74,24.8,40.8,61522.0,1738.0,848.29
Mauritius,90.85,22.08,78.83,67.19,67.69,45.43,89.73,89.73,0.16,0.96,16.33,31.19,3.39,33.5,15.38,7.09,29.89,13.5,539.0,6.0,5.99
Mexico,90.05,75.23,79.1,86.52,55.41,62.27,79.1,82.95,6.95,3.51,39.42,24.55,0.49,10.36,7.97,4.54,23.18,20.1,112281.0,2439.0,1631.0
Micronesia (Federated States of),63.59,50.23,66.73,65.76,77.62,45.47,64.61,44.56,0.0,4.83,5.11,20.98,3.26,29.72,10.13,5.08,29.89,10.2,437.0,12.0,5.51
Monaco,77.22,46.82,74.17,22.57,64.97,69.3,77.22,56.76,6.95,10.57,61.9,174.02,21.91,29.72,5.46,5.86,29.89,12.2,3.0,0.0,0.0
Mongolia,89.0,6.77,76.17,91.14,81.47,44.67,87.63,84.44,16.59,2.5,30.15,38.58,4.74,70.0,5.76,4.47,54.05,40.4,14759.0,426.0,88.27
Montenegro,31.02,46.82,25.44,57.24,36.94,41.83,31.07,31.76,2.9,2.09,20.59,53.43,1.91,40.49,4.94,4.12,18.05,20.2,328018.71,9304.79,0.87
Morocco,80.73,58.08,78.9,43.43,58.84,42.63,80.85,85.71,6.95,2.24,6.74,10.09,2.6,9.74,17.98,5.22,34.96,31.0,122209.0,3386.0,1118.65
Mozambique,59.29,39.85,64.41,10.71,46.03,30.67,61.63,73.24,6.95,2.24,0.55,4.17,0.05,7.5,14.92,10.43,35.6,19.4,488940.0,13984.0,9471.37
Myanmar,64.32,21.85,62.61,40.48,38.97,20.4,64.88,72.49,1.0,0.63,5.47,9.01,0.48,9.93,12.99,7.23,28.43,34.7,605273.0,17337.0,4499.81
Namibia,56.61,26.92,51.0,6.57,27.09,28.9,56.88,62.49,2.31,1.91,4.3,22.1,1.55,27.0,15.91,7.47,26.02,22.6,2757.0,56.0,283.27
Nauru,65.73,46.82,47.59,80.19,76.0,33.97,67.54,81.51,6.95,9.95,11.96,67.51,4.67,29.72,10.13,5.86,67.2,12.5,328018.71,9304.79,0.33
Nepal,59.9,22.77,61.93,10.9,40.38,27.27,62.59,77.63,0.7,0.38,6.27,21.91,0.76,3.0,24.22,8.56,64.63,94.3,430767.0,12356.0,2359.85
Netherlands,94.24,80.15,92.17,79.52,20.25,73.63,94.24,72.01,6.95,0.76,29.58,109.88,1.83,40.96,6.37,1.73,18.0,12.1,894.0,1.0,11.9
New Zealand,77.71,77.92,81.59,37.57,78.03,67.8,83.2,72.01,6.95,2.24,25.83,108.44,7.4,27.03,6.01,1.73,29.89,5.7,328018.71,9304.79,6.46
Nicaragua,84.44,65.0,78.49,13.24,60.69,64.73,73.54,89.76,2.66,0.95,7.99,13.07,1.86,9.67,11.05,4.58,28.83,16.9,25178.0,689.0,171.34
Niger,37.83,29.46,42.9,9.62,26.56,28.33,37.95,51.88,5.34,0.55,0.36,2.23,0.02,3.38,10.13,12.04,8.71,70.8,1076891.0,31324.0,9497.49
Nigeria,35.27,19.23,37.1,0.43,21.16,11.43,33.76,46.76,6.95,2.24,3.6,13.88,0.93,5.0,10.13,11.02,14.15,48.7,4612735.0,129608.0,73602.92
Niue,90.54,83.77,88.46,91.76,88.91,65.87,85.39,90.85,6.95,2.24,20.72,100.76,5.73,29.72,10.13,5.86,29.89,11.5,0.0,0.0,0.0
Norway,82.76,85.15,82.05,87.67,3.0,75.87,83.12,72.01,6.95,2.24,37.09,160.09,6.99,43.05,4.86,1.65,7.0,7.0,250.0,0.0,1.71
Oman,85.59,83.38,85.32,93.67,89.38,59.2,85.68,91.41,2.35,1.35,16.72,38.03,3.9,18.72,10.67,6.49,32.8,38.2,328018.71,9304.79,15.69
Pakistan,48.98,39.85,50.56,26.71,34.16,24.57,48.73,68.71,0.85,0.53,7.61,4.66,1.32,6.88,10.13,8.82,35.97,55.2,1631260.0,46137.0,26399.74
Palau,74.46,64.38,73.29,79.81,84.03,65.9,76.0,72.01,6.95,2.24,14.73,63.6,0.82,29.72,10.13,5.86,29.89,12.2,36.0,1.0,0.1
Panama,81.98,64.77,85.68,81.57,52.09,55.63,80.59,93.32,10.54,0.91,13.45,19.27,2.03,22.83,10.33,4.27,23.25,11.2,7316.0,188.0,58.65
Papua New Guinea,50.1,11.23,49.51,0.95,45.31,19.97,51.1,77.07,9.56,1.57,0.56,4.78,0.42,29.72,10.13,7.33,57.45,10.9,91284.0,2615.0,979.08
Paraguay,75.78,55.62,72.85,53.14,47.59,50.93,73.32,78.73,1.78,2.43,12.6,9.81,0.92,9.5,8.34,3.98,21.15,11.2,15681.0,408.0,154.04
Peru,72.88,65.54,74.05,32.48,47.28,55.13,74.1,82.12,6.95,2.24,11.7,20.8,1.34,15.5,9.7,6.72,62.56,24.3,76676.0,2057.0,543.75
Philippines,73.44,16.15,69.78,19.67,46.94,18.03,73.93,83.0,6.95,1.81,11.65,47.01,5.26,10.42,20.79,4.59,33.22,18.4,365206.0,9902.0,4081.21
